TaskId,Name,From,To,time
0,R,BOT,WP1_TOP,335
0,R,WP1_TOP,WP1,249
0,G,WP1,WP1,44
0,M,WP1,WP1_TOP,249
0,M,WP1_TOP,A1_TOP,167
0,A,A1_TOP,A1_TOP,138
0,RL,A1_TOP,A1_TOP,44
0,R,A1_TOP,BOT,277
1,R,BOT,WP2_TOP,195
1,R,WP2_TOP,WP2,251
1,G,WP2,WP2,44
1,M,WP2,WP2_TOP,251
1,M,WP2_TOP,A2_TOP,166
1,A,A2_TOP,A2_TOP,138
1,M,A2_TOP,WP2,250
1,RL,WP2,WP2,44
1,R,WP2,WP2_TOP,251
1,R,WP2_TOP,BOT,195
2,R,BOT,WP2_TOP,195
2,R,WP2_TOP,WP2,251
2,G,WP2,WP2,44
2,M,WP2,WP2_TOP,251
2,M,WP2_TOP,BIN1_TOP,641
2,RL,BIN1_TOP,BIN1_TOP,44
2,R,BIN1_TOP,BOT,613
3,R,BOT,WP3_TOP,248
3,R,WP3_TOP,WP3,251
3,G,WP3,WP3,44
3,M,WP3,DA3_TOP,247
3,DA,DA3_TOP,DA3_TOP,138
3,M,DA3_TOP,WP3,247
3,RL,WP3,WP3,44
3,R,WP3,WP3_TOP,251
3,R,WP3_TOP,BOT,248
4,R,BOT,DA4_TOP,361
4,G,DA4_TOP,DA4_TOP,44
4,DA,DA4_TOP,DA4_TOP,138
4,M,DA4_TOP,WP4,250
4,RL,WP4,WP4,44
4,R,WP4,WP4_TOP,249
4,R,WP4_TOP,BOT,391
5,R,BOT,WP3_TOP,248
5,R,WP3_TOP,WP3,251
5,G,WP3,WP3,44
5,M,WP3,WP3_TOP,251
5,M,WP3_TOP,BIN1_TOP,501
5,RL,BIN1_TOP,BIN1_TOP,44
5,R,BIN1_TOP,BOT,613
6,R,BOT,WP4_TOP,391
6,R,WP4_TOP,WP4,249
6,G,WP4,WP4,44
6,M,WP4,WP4_TOP,249
6,M,WP4_TOP,BIN1_TOP,335
6,RL,BIN1_TOP,BIN1_TOP,44
6,R,BIN1_TOP,BOT,613
7,R,BOT,WP5_TOP,445
7,R,WP5_TOP,WP5,250
7,G,WP5,WP5,44
7,M,WP5,WP5_TOP,250
7,M,WP5_TOP,BIN1_TOP,809
7,RL,BIN1_TOP,BIN1_TOP,44
7,R,BIN1_TOP,BOT,613
8,R,BOT,WP6_TOP,359
8,R,WP6_TOP,WP6,251
8,G,WP6,WP6,44
8,M,WP6,WP6_TOP,251
8,M,WP6_TOP,BIN1_TOP,668
8,RL,BIN1_TOP,BIN1_TOP,44
8,R,BIN1_TOP,BOT,613
9,R,BOT,WP7_TOP,362
9,R,WP7_TOP,WP7,251
9,G,WP7,WP7,44
9,M,WP7,WP7_TOP,251
9,M,WP7_TOP,A7_TOP,166
9,A,A7_TOP,A7_TOP,138
9,RL,A7_TOP,A7_TOP,44
9,R,A7_TOP,BOT,389
10,R,BOT,WP8_TOP,445
10,R,WP8_TOP,WP8,250
10,G,WP8,WP8,44
10,M,WP8,WP8_TOP,250
10,M,WP8_TOP,A8_TOP,167
10,A,A8_TOP,A8_TOP,138
10,M,A8_TOP,WP8,249
10,RL,WP8,WP8,44
10,R,WP8,WP8_TOP,250
10,R,WP8_TOP,BOT,445
11,R,BOT,WP8_TOP,445
11,R,WP8_TOP,WP8,250
11,G,WP8,WP8,44
11,M,WP8,WP8_TOP,250
11,M,WP8_TOP,BIN1_TOP,389
11,RL,BIN1_TOP,BIN1_TOP,44
11,R,BIN1_TOP,BOT,613
12,R,BOT,WP9_TOP,558
12,R,WP9_TOP,WP9,251
12,G,WP9,WP9,44
12,M,WP9,WP9_TOP,251
12,M,WP9_TOP,BIN1_TOP,725
12,RL,BIN1_TOP,BIN1_TOP,44
12,R,BIN1_TOP,BOT,613
13,R,BOT,WP10_TOP,558
13,R,WP10_TOP,WP10,250
13,G,WP10,WP10,44
13,M,WP10,WP10_TOP,250
13,M,WP10_TOP,BIN1_TOP,584
13,RL,BIN1_TOP,BIN1_TOP,44
13,R,BIN1_TOP,BOT,613
